"row","col","src","hex","fn_src","lamp","key"
"1","0","0","0x0000","0x0032","16","Escape"
"1","1","257","0x0101","0x0133","17","Number1"
"1","2","258","0x0102","0x0134","18","Number2"
"1","3","259","0x0103","0x0135","19","Number3"
"1","4","260","0x0104","0x0136","20","Number4"
"1","5","261","0x0105","0x0137","21","Number5"
"1","6","262","0x0106","0x0138","22","Number6"
"1","7","263","0x0107","0x0139","23","Number7"
"1","8","264","0x0108","0x013A","24","Number8"
"1","9","265","0x0109","0x013B","25","Number9"
"1","10","266","0x010A","0x013C","26","Number0"
"2","0","512","0x0200","0x0232","27","?"
"2","1","513","0x0201","0x0233","28","?"
"2","2","514","0x0202","0x0234","29","Back"
"2","3","515","0x0203","0x0235","30","Insert"
"2","4","516","0x0204","0x0236","31","Tab"
"2","5","517","0x0205","0x0237","32","Q"
"2","6","518","0x0206","0x0238","33","W"
"2","7","519","0x0207","0x0239","34","E"
"2","8","520","0x0208","0x023A","35","R"
"2","9","521","0x0209","0x023B","36","T"
"2","10","522","0x020A","0x023C","37","Y"
"3","0","768","0x0300","0x0332","38","U"
"3","1","769","0x0301","0x0333","39","I"
"3","2","770","0x0302","0x0334","40","O"
"3","3","771","0x0303","0x0335","41","P"
"3","4","772","0x0304","0x0336","42","?"
"3","5","773","0x0305","0x0337","43","?"
"3","6","774","0x0306","0x0338","44","?"
"3","7","775","0x0307","0x0339","45","Delete"
"3","8","776","0x0308","0x033A","46","CapitalLock"
"3","9","777","0x0309","0x033B","47","A"
"4","0","1024","0x0400","0x0432","48","S"
"4","1","1025","0x0401","0x0433","49","D"
"4","2","1026","0x0402","0x0434","50","F"
"4","3","1027","0x0403","0x0435","51","G"
"4","4","1028","0x0404","0x0436","52","H"
"4","5","1029","0x0405","0x0437","53","J"
"4","6","1030","0x0406","0x0438","54","K"
"4","7","1031","0x0407","0x0439","55","L"
"4","8","1032","0x0408","0x043A","56","?"
"4","10","1034","0x040A","0x043C","57","?"
"4","11","1035","0x040B","0x043D","58","Enter"
"5","0","1280","0x0500","0x0532","59","PageUp"
"5","1","1281","0x0501","0x0533","60","LeftShift"
"5","3","1283","0x0503","0x0535","61","Z"
"5","7","1287","0x0507","0x0539","62","X"
"5","8","1288","0x0508","0x053A","63","C"
"5","10","1290","0x050A","0x053C","64","V"
"5","11","1291","0x050B","0x053D","65","B"
"6","0","1536","0x0600","0x0632","66","N"
"6","1","1537","0x0601","0x0633","67","M"
"6","2","1538","0x0602","0x0634","68","?"
"6","4","1540","0x0604","0x0636","69","?"
"6","7","1543","0x0607","0x0639","70","?"
"6","8","1544","0x0608","0x063A","71","RightShift"
"6","10","1546","0x060A","0x063C","72","Up"
"6","11","1547","0x060B","0x063D","73","PageDown"
"7","0","1792","0x0700","0x0732","74","LeftControl"
"7","1","1793","0x0701","0x0733","75","LeftWindows"
"7","2","1794","0x0702","0x0734","76","LeftMenu"
"7","3","1795","0x0703","0x0735","77","Space"
"7","4","1796","0x0704","0x0736","78","RightMenu"
"7","6","1798","0x0706","0x0738","79","?"
"7","7","1799","0x0707","0x0739","80","RightControl"
"7","8","1800","0x0708","0x073A","81","Left"
"7","10","1802","0x070A","0x073C","82","Down"
"7","11","1803","0x070B","0x073D","83","Right"
