"idx","grp","mode","defKey","src","bfun","tgt","act","trig"
"0","1","0","0","0","0","0","10","0"
"50","1","7","306","306","7","306","10","0"
"0","6","0","1536","1536","0","1536","10","0"
"50","6","7","1586","1586","7","1586","10","0"
"0","7","0","1792","1792","0","1792","10","0"
"50","7","7","1842","1842","7","1842","10","0"
"1","1","0","257","257","0","257","10","0"
"51","1","7","307","307","7","307","10","0"
"2","1","0","258","258","0","258","10","0"
"52","1","7","308","308","7","308","10","0"
"3","1","0","259","259","0","259","10","0"
"53","1","7","309","309","7","309","10","0"
"4","1","0","260","260","0","260","10","0"
"54","1","7","310","310","7","310","10","0"
"5","1","0","261","261","0","261","10","0"
"55","1","7","311","311","7","311","10","0"
"6","1","0","262","262","0","262","10","0"
"56","1","7","312","312","7","312","10","0"
"7","1","0","263","263","0","263","10","0"
"57","1","7","313","313","7","313","10","0"
"8","1","0","264","264","0","264","10","0"
"58","1","7","314","314","7","314","10","0"
"9","1","0","265","265","0","265","10","0"
"59","1","7","315","315","7","315","10","0"
"10","1","0","266","266","0","266","10","0"
"60","1","7","316","316","7","316","10","0"
"6","7","0","1798","1798","0","1798","10","0"
"56","7","7","1848","1848","7","1848","10","0"
"8","6","0","1544","1544","0","1544","10","0"
"58","6","7","1594","1594","7","1594","10","0"
"0","2","0","512","512","0","512","10","0"
"50","2","7","562","562","7","562","10","0"
"1","6","0","1537","1537","0","1537","10","0"
"51","6","7","1587","1587","7","1587","10","0"
"1","7","0","1793","1793","0","1793","10","0"
"51","7","7","1843","1843","7","1843","10","0"
"1","2","0","513","513","0","513","10","0"
"51","2","7","563","563","7","563","10","0"
"2","2","0","514","514","0","514","10","0"
"52","2","7","564","564","7","564","10","0"
"3","2","0","515","515","0","515","10","0"
"53","2","7","565","565","7","565","10","0"
"4","2","0","516","516","0","516","10","0"
"54","2","7","566","566","7","566","10","0"
"5","2","0","517","517","0","517","10","0"
"55","2","7","567","567","7","567","10","0"
"6","2","0","518","518","0","518","10","0"
"56","2","7","568","568","7","568","10","0"
"7","2","0","519","519","0","519","10","0"
"57","2","7","569","569","7","569","10","0"
"8","2","0","520","520","0","520","10","0"
"58","2","7","570","570","7","570","10","0"
"9","2","0","521","521","0","521","10","0"
"59","2","7","571","571","7","571","10","0"
"10","2","0","522","522","0","522","10","0"
"60","2","7","572","572","7","572","10","0"
"7","6","0","1543","1543","0","1543","10","0"
"57","6","7","1593","1593","7","1593","10","0"
"8","7","0","1800","1800","0","1800","10","0"
"58","7","7","1850","1850","7","1850","10","0"
"0","3","0","768","768","0","768","10","0"
"50","3","7","818","818","7","818","10","0"
"2","6","0","1538","1538","0","1538","10","0"
"52","6","7","1588","1588","7","1588","10","0"
"2","7","0","1794","1794","0","1794","10","0"
"52","7","7","1844","1844","7","1844","10","0"
"1","3","0","769","769","0","769","10","0"
"51","3","7","819","819","7","819","10","0"
"2","3","0","770","770","0","770","10","0"
"52","3","7","820","820","7","820","10","0"
"3","3","0","771","771","0","771","10","0"
"53","3","7","821","821","7","821","10","0"
"4","3","0","772","772","0","772","10","0"
"54","3","7","822","822","7","822","10","0"
"5","3","0","773","773","0","773","10","0"
"55","3","7","823","823","7","823","10","0"
"6","3","0","774","774","0","774","10","0"
"56","3","7","824","824","7","824","10","0"
"7","3","0","775","775","0","775","10","0"
"57","3","7","825","825","7","825","10","0"
"8","3","0","776","776","0","776","10","0"
"58","3","7","826","826","7","826","10","0"
"9","3","0","777","777","0","777","10","0"
"59","3","7","827","827","7","827","10","0"
"7","7","0","1799","1799","0","1799","10","0"
"57","7","7","1849","1849","7","1849","10","0"
"11","6","0","1547","1547","0","1547","10","0"
"61","6","7","1597","1597","7","1597","10","0"
"0","4","0","1024","1024","0","1024","10","0"
"50","4","7","1074","1074","7","1074","10","0"
"3","7","0","1795","1795","0","1795","10","0"
"53","7","7","1845","1845","7","1845","10","0"
"1","4","0","1025","1025","0","1025","10","0"
"51","4","7","1075","1075","7","1075","10","0"
"1","5","0","1281","1281","0","1281","10","0"
"51","5","7","1331","1331","7","1331","10","0"
"2","4","0","1026","1026","0","1026","10","0"
"52","4","7","1076","1076","7","1076","10","0"
"3","4","0","1027","1027","0","1027","10","0"
